frame,time_s,latency_ms,detected,gt_x,gt_y,gt_z,gt_dist,gt_yaw,pred_x,pred_y,pred_z,pred_dist,pred_yaw,reprojection_error_px
0,0.0000,1.2266,1,0.0000,0.2000,6.0000,6.0033,20.0000,-0.0001,0.2110,6.3182,6.3218,20.3060,0.1073
1,0.0333,1.1902,1,0.0084,0.1992,5.9816,5.9849,19.9155,0.0095,0.2107,6.3112,6.3147,20.3097,0.1301
2,0.0667,1.4408,1,0.0167,0.1983,5.9632,5.9665,19.7961,0.0184,0.2089,6.2684,6.2719,20.0707,0.0882
3,0.1000,1.3193,1,0.0249,0.1971,5.9448,5.9481,19.6422,0.0267,0.2068,6.2451,6.2486,20.1670,0.1046
4,0.1333,1.2641,1,0.0331,0.1958,5.9264,5.9297,19.4543,0.0360,0.2059,6.2445,6.2480,19.8213,0.1013
5,0.1667,1.1789,1,0.0412,0.1942,5.9080,5.9114,19.2329,0.0443,0.2045,6.1854,6.1889,19.4351,0.0545
6,0.2000,1.2167,1,0.0493,0.1925,5.8896,5.8930,18.9788,0.0503,0.2025,6.1805,6.1840,19.1692,0.0986
7,0.2333,1.2032,1,0.0573,0.1906,5.8712,5.8746,18.6926,0.0604,0.1984,6.1739,6.1774,19.0016,0.1230
8,0.2667,1.0782,1,0.0651,0.1885,5.8528,5.8562,18.3750,0.0680,0.1982,6.1733,6.1769,18.6316,0.0271
9,0.3000,1.2617,1,0.0729,0.1862,5.8344,5.8379,18.0268,0.0762,0.1962,6.1494,6.1530,18.6119,0.0751
10,0.3333,1.2574,1,0.0806,0.1838,5.8161,5.8195,17.6488,0.0840,0.1935,6.1166,6.1202,17.8661,0.1079
11,0.3667,1.6935,1,0.0883,0.1812,5.7977,5.8012,17.2420,0.0923,0.1909,6.0983,6.1020,17.4306,0.0673
12,0.4000,1.4013,1,0.0958,0.1784,5.7793,5.7828,16.8072,0.1008,0.1894,6.0896,6.0933,17.1128,0.0551
13,0.4333,1.2401,1,0.1032,0.1755,5.7609,5.7645,16.3454,0.1076,0.1846,6.0560,6.0597,16.3908,0.0786
14,0.4667,1.3045,1,0.1106,0.1724,5.7425,5.7461,15.8577,0.1163,0.1815,6.0437,6.0475,16.0234,0.0342
15,0.5000,1.2696,1,0.1178,0.1691,5.7241,5.7278,15.3451,0.1249,0.1785,6.0241,6.0280,15.3738,0.1510
16,0.5333,1.1830,1,0.1249,0.1657,5.7057,5.7095,14.8087,0.1326,0.1761,6.0204,6.0244,15.2103,0.0112
17,0.5667,1.1852,1,0.1319,0.1622,5.6873,5.6911,14.2497,0.1391,0.1679,5.9620,5.9660,14.4855,0.3140
18,0.6000,1.3197,1,0.1388,0.1585,5.6689,5.6728,13.6692,0.1467,0.1680,5.9783,5.9825,14.2372,0.0627
19,0.6333,1.1435,1,0.1456,0.1547,5.6505,5.6545,13.0684,0.1514,0.1648,5.9118,5.9161,13.0599,0.2030
20,0.6667,1.2678,1,0.1523,0.1507,5.6321,5.6362,12.4485,0.1612,0.1595,5.9360,5.9403,12.8278,0.1257
21,0.7000,1.4507,1,0.1588,0.1467,5.6137,5.6179,11.8109,0.1652,0.1570,5.8862,5.8906,11.9519,0.0239
22,0.7333,1.2695,1,0.1653,0.1425,5.5953,5.5996,11.1567,0.1728,0.1495,5.8856,5.8900,11.5480,0.1634
23,0.7667,1.3055,1,0.1716,0.1382,5.5769,5.5813,10.4873,0.1796,0.1423,5.8444,5.8489,10.4036,0.3156
24,0.8000,1.1170,1,0.1778,0.1338,5.5585,5.5630,9.8041,0.1839,0.1388,5.8361,5.8406,9.4961,0.0602
25,0.8333,1.2527,1,0.1838,0.1293,5.5401,5.5447,9.1082,0.1903,0.1349,5.7817,5.7864,9.1218,0.0380
26,0.8667,1.3273,1,0.1898,0.1246,5.5217,5.5264,8.4012,0.1963,0.1300,5.7727,5.7775,8.3449,0.2656
27,0.9000,1.4093,1,0.1956,0.1199,5.5033,5.5081,7.6843,0.2056,0.1260,5.7720,5.7771,7.8619,0.1593
28,0.9333,1.2712,1,0.2012,0.1151,5.4850,5.4898,6.9589,0.2109,0.1193,5.7470,5.7521,6.6878,0.1485
29,0.9667,1.1763,1,0.2067,0.1103,5.4666,5.4716,6.2265,0.2171,0.1162,5.6939,5.6992,5.9081,0.1882
30,1.0000,1.2819,1,0.2121,0.1053,5.4482,5.4533,5.4883,0.2223,0.1083,5.6787,5.6840,5.5855,0.3605
31,1.0333,1.2947,1,0.2174,0.1003,5.4298,5.4350,4.7457,0.2263,0.1074,5.6801,5.6857,4.4000,0.2408
32,1.0667,1.1904,1,0.2225,0.0952,5.4114,5.4168,4.0003,0.2362,0.0990,5.6413,5.6471,3.6083,0.1120
33,1.1000,1.2364,1,0.2275,0.0900,5.3930,5.3985,3.2532,0.2399,0.0938,5.6865,5.6923,3.1811,0.0123
34,1.1333,1.2569,1,0.2323,0.0848,5.3746,5.3803,2.5059,0.2445,0.0865,5.6226,5.6285,2.8050,0.2192
35,1.1667,1.2278,1,0.2370,0.0796,5.3562,5.3620,1.7597,0.2471,0.0824,5.6155,5.6216,1.5511,0.0004
36,1.2000,1.4130,1,0.2415,0.0743,5.3378,5.3438,1.0160,0.2498,0.0775,5.5637,5.5699,0.9412,0.2563
37,1.2333,1.3666,1,0.2459,0.0690,5.3194,5.3255,0.2762,0.2540,0.0701,5.5345,5.5408,-0.1546,0.2296
38,1.2667,1.2077,1,0.2501,0.0636,5.3010,5.3073,-0.4585,0.2536,0.0664,5.4592,5.4655,-1.0592,0.4379
39,1.3000,1.1425,1,0.2542,0.0582,5.2826,5.2890,-1.1868,0.2646,0.0578,5.4914,5.4980,-0.7794,0.0764
40,1.3333,1.2771,1,0.2581,0.0528,5.2642,5.2708,-1.9074,0.2676,0.0562,5.4987,5.5055,-1.9628,0.0506
41,1.3667,1.2643,1,0.2619,0.0474,5.2458,5.2526,-2.6191,0.2740,0.0496,5.4837,5.4908,-2.7725,0.1955
42,1.4000,1.1915,1,0.2656,0.0420,5.2274,5.2343,-3.3205,0.2795,0.0455,5.4869,5.4942,-3.4728,0.0538
43,1.4333,1.2574,1,0.2690,0.0366,5.2090,5.2161,-4.0106,0.2818,0.0357,5.4404,5.4478,-3.7936,0.0357
44,1.4667,1.1497,1,0.2724,0.0312,5.1906,5.1979,-4.6881,0.2866,0.0329,5.4469,5.4545,-4.5963,0.0210
45,1.5000,1.2584,1,0.2755,0.0258,5.1722,5.1796,-5.3519,0.2883,0.0272,5.3952,5.4029,-5.0121,0.0544
46,1.5333,1.2416,1,0.2785,0.0204,5.1538,5.1614,-6.0010,0.2889,0.0222,5.4055,5.4133,-5.9386,0.0551
47,1.5667,1.2845,1,0.2814,0.0150,5.1355,5.1432,-6.6342,0.2952,0.0156,5.3757,5.3838,-6.6559,0.2644
48,1.6000,1.1741,1,0.2841,0.0097,5.1171,5.1249,-7.2505,0.3004,0.0125,5.3937,5.4020,-7.5828,0.2073
49,1.6333,1.2929,1,0.2867,0.0044,5.0987,5.1067,-7.8490,0.2999,0.0026,5.3512,5.3596,-7.6789,0.1593
50,1.6667,1.2166,1,0.2891,-0.0009,5.0803,5.0885,-8.4286,0.3028,-0.0004,5.3401,5.3487,-8.4252,0.1262
51,1.7000,1.2084,1,0.2913,-0.0061,5.0619,5.0703,-8.9885,0.3059,-0.0053,5.3043,5.3131,-8.4801,0.0455
52,1.7333,1.2526,1,0.2934,-0.0113,5.0435,5.0520,-9.5278,0.3050,-0.0114,5.2788,5.2876,-9.4954,0.2245
53,1.7667,1.1594,1,0.2953,-0.0164,5.0251,5.0338,-10.0456,0.3111,-0.0177,5.2711,5.2803,-10.1073,0.1623
54,1.8000,1.2470,1,0.2971,-0.0215,5.0067,5.0155,-10.5413,0.3134,-0.0242,5.2709,5.2803,-10.2435,0.0348
55,1.8333,1.3011,1,0.2987,-0.0265,4.9883,4.9973,-11.0141,0.3140,-0.0289,5.2214,5.2309,-10.9016,0.4343
56,1.8667,1.2778,1,0.3002,-0.0314,4.9699,4.9791,-11.4632,0.3162,-0.0343,5.2101,5.2198,-11.3388,0.0703
57,1.9000,1.2420,1,0.3015,-0.0363,4.9515,4.9608,-11.8881,0.3176,-0.0386,5.1876,5.1974,-12.2743,0.1107
58,1.9333,1.2780,1,0.3026,-0.0410,4.9331,4.9426,-12.2882,0.3151,-0.0454,5.1688,5.1786,-12.6866,0.1979
59,1.9667,2.0298,1,0.3036,-0.0457,4.9147,4.9243,-12.6630,0.3201,-0.0490,5.1796,5.1898,-12.7088,0.0407
60,2.0000,1.3039,1,0.3045,-0.0504,4.8963,4.9060,-13.0120,0.3191,-0.0495,5.1459,5.1560,-13.2289,0.1188
61,2.0333,1.1750,1,0.3052,-0.0549,4.8779,4.8878,-13.3347,0.3233,-0.0582,5.1349,5.1454,-13.2338,0.2878
62,2.0667,1.2336,1,0.3057,-0.0593,4.8595,4.8695,-13.6308,0.3204,-0.0611,5.0874,5.0979,-13.7484,0.0968
63,2.1000,1.2787,1,0.3061,-0.0637,4.8411,4.8512,-13.8999,0.3217,-0.0659,5.0918,5.1023,-13.9979,0.1437
64,2.1333,1.2437,1,0.3064,-0.0679,4.8227,4.8329,-14.1418,0.3223,-0.0709,5.0496,5.0603,-14.3124,0.0669
65,2.1667,1.2817,1,0.3065,-0.0720,4.8043,4.8147,-14.3564,0.3210,-0.0750,5.0418,5.0525,-14.3913,0.0664
66,2.2000,1.2400,1,0.3065,-0.0760,4.7860,4.7964,-14.5433,0.3213,-0.0808,5.0231,5.0340,-14.5539,0.0263
67,2.2333,1.1590,1,0.3063,-0.0799,4.7676,4.7781,-14.7025,0.3208,-0.0846,4.9916,5.0026,-14.6570,0.0243
68,2.2667,1.3097,1,0.3059,-0.0837,4.7492,4.7597,-14.8339,0.3218,-0.0882,4.9905,5.0017,-14.9358,0.0792
69,2.3000,1.1345,1,0.3054,-0.0874,4.7308,4.7414,-14.9376,0.3212,-0.0910,4.9619,4.9731,-15.0400,0.0621
70,2.3333,1.2497,1,0.3048,-0.0909,4.7124,4.7231,-15.0135,0.3188,-0.0942,4.9469,4.9581,-15.1832,0.1090
71,2.3667,1.1765,1,0.3041,-0.0944,4.6940,4.7048,-15.0618,0.3202,-0.0989,4.9264,4.9378,-15.1575,0.0447
72,2.4000,1.2132,1,0.3032,-0.0977,4.6756,4.6864,-15.0826,0.3179,-0.1022,4.9013,4.9127,-15.3296,0.0534
73,2.4333,1.1302,1,0.3021,-0.1008,4.6572,4.6681,-15.0762,0.3174,-0.1062,4.8867,4.8982,-15.2275,0.1630
74,2.4667,1.1548,1,0.3010,-0.1039,4.6388,4.6497,-15.0427,0.3157,-0.1097,4.8627,4.8741,-15.0262,0.0461
75,2.5000,1.8920,1,0.2997,-0.1068,4.6204,4.6313,-14.9825,0.3141,-0.1123,4.8467,4.8581,-14.8017,0.1031
76,2.5333,1.1625,1,0.2982,-0.1095,4.6020,4.6130,-14.8958,0.3134,-0.1130,4.8322,4.8437,-15.0412,0.1796
77,2.5667,1.2315,1,0.2967,-0.1122,4.5836,4.5946,-14.7832,0.3115,-0.1174,4.8094,4.8209,-15.2123,0.0779
78,2.6000,2.0310,1,0.2950,-0.1147,4.5652,4.5762,-14.6449,0.3092,-0.1205,4.7794,4.7909,-14.7569,0.1133
79,2.6333,1.2341,1,0.2931,-0.1170,4.5468,4.5578,-14.4816,0.3072,-0.1226,4.7648,4.7763,-14.6163,0.0657
80,2.6667,1.2164,1,0.2912,-0.1192,4.5284,4.5393,-14.2937,0.3063,-0.1257,4.7635,4.7750,-14.3314,0.0533
81,2.7000,1.2723,1,0.2891,-0.1213,4.5100,4.5209,-14.0818,0.3032,-0.1276,4.7350,4.7464,-14.2816,0.1062
82,2.7333,1.2475,1,0.2869,-0.1232,4.4916,4.5025,-13.8464,0.3007,-0.1292,4.7150,4.7263,-13.9292,0.0740
83,2.7667,1.1135,1,0.2846,-0.1250,4.4732,4.4840,-13.5883,0.2986,-0.1318,4.6915,4.7029,-13.5776,0.0230
